"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","exp.adjust","exp.adjustTest1","stress"
"23","201_D_1272",33040,40000,-0.20684559701127,0.360371525404632,"june",1513.92711478806,34553.9271147881,5446.07288521194
"24","206_A_1329",31700,38870,-0.769297724724399,0.04747945747139,"june",1425.30138236067,33125.3013823607,5744.69861763933
"25","206_B_1330",32260,39260,-0.534243104187569,0.155468755253659,"june",1443.99114297557,33703.9911429756,5556.00885702443
"26","206_C_1331",35010,40000,0.620042978805792,0.360371525404632,"june",1789.0238504383,36799.0238504383,3200.9761495617
"27","209_A_1365",32110,38820,-0.597204163259934,0.0336346757044332,"june",1437.48559127491,33547.4855912749,5272.5144087251
"28","209_B_1366",31480,39030,-0.861640611363867,0.0917827591256553,"june",1408.38672026386,32888.3867202639,6141.61327973614
"29","209_C_1367",31830,38950,-0.714731473528349,0.0696311082985236,"june",1427.24832651733,33257.2483265173,5692.75167348267
"31","214_A_1425",36520,40000,1.2538509734676,0.360371525404632,"june",1931.53428391274,38451.5342839127,1548.46571608727
"32","214_B_1426",31360,38450,-0.912009458621759,-0.0688167093710523,"june",1364.38747736036,32724.3874773604,5725.61252263964
"34","221_D_1512",31810,38800,-0.723126281404664,0.0280967629976493,"june",1426.97055054687,33236.9705505469,5563.02944945313
"35","231_B_1630",35490,40000,0.821518367837362,0.360371525404632,"june",1823.18235329868,37313.1823532987,2686.81764670132
"36","231_C_1631",32660,39190,-0.366346946661263,0.136086060779919,"june",1447.91878621109,34107.9187862111,5082.08121378892
"37","231_D_1632",33540,39980,0.00302459989661385,0.354833612697848,"june",1674.61397395186,35214.6139739519,4765.38602604814
"38","233_A_1653",31450,38680,-0.87423282317834,-0.00513071324304826,"june",1401.48839096675,32851.4883909668,5828.51160903324
"39","233_B_1654",33340,38720,-0.0809234788665379,0.00594511217051758,"june",1659.35516816951,34999.3551681695,3720.64483183049
"40","233_C_1655",34470,40000,0.393383166145278,0.360371525404632,"june",1648.6211004918,36118.6211004918,3881.3788995082
"41","233_D_1656",33150,39370,-0.160674153691536,0.185927275140966,"june",1582.17048904453,34732.1704890445,4637.82951095547
"42","236_B_1690",32870,38870,-0.278201463959951,0.04747945747139,"june",1459.77178767906,34329.7717876791,4540.22821232094
"43","236_D_1692",35690,40000,0.905466446600514,0.360371525404632,"june",1844.74910580735,37534.7491058074,2465.25089419265
"44","242_A_1761",32550,39040,-0.412518389980997,0.0945517154790463,"june",1446.92248397044,33996.9224839704,5043.07751602957
"45","242_B_1762",32710,39770,-0.345359926970473,0.296685529276628,"june",1448.90125327636,34158.9012532764,5611.09874672364
"46","242_C_1763",32100,38540,-0.601401567198091,-0.0438961021905297,"june",1436.91985652542,33536.9198565254,5003.08014347458
"50","248_C_1835",33020,39230,-0.215240404887584,0.147161886193484,"june",1503.68689250522,34523.6868925052,4706.31310749477
"51","248_D_1836",33110,40000,-0.177463769444166,0.360371525404632,"june",1556.38469795946,34666.3846979595,5333.61530204055
"52","250_A_1857",35110,39780,0.662017018187369,0.299454485630019,"june",1808.66719646799,36918.667196468,2861.33280353202
"54","250_C_1859",36380,40000,1.1950873183334,0.360371525404632,"june",1920.19752324954,38300.1975232495,1699.80247675046
"56","30_A_185",32370,40000,-0.488071660867835,0.360371525404632,"june",1445.85826899568,33815.8582689957,6184.14173100433
"57","30_C_187",31450,38990,-0.87423282317834,0.0807069337120895,"june",1401.48839096675,32851.4883909668,6138.51160903324
"58","35_A_221",36060,40000,1.06077039231235,0.360371525404632,"june",1912.67554065465,37972.6755406547,2027.32445934534
"59","35_B_222",32140,39240,-0.58461195144546,0.149930842546877,"june",1439.1367717862,33579.1367717862,5660.8632282138
"60","35_C_223",31880,38960,-0.69374445383756,0.0724000646519146,"june",1428.06996749092,33308.0699674909,5651.93003250908
"61","35_D_224",33050,39600,-0.202648193073113,0.249613271268972,"june",1519.43276461048,34569.4327646105,5030.56723538952
"62","46_A_281",31340,38760,-0.920404266498075,0.0170209375840834,"june",1351.75048000563,32691.7504800056,6068.24951999437
"63","46_B_282",31700,39280,-0.769297724724399,0.161006667960443,"june",1425.30138236067,33125.3013823607,6154.69861763933
"64","46_C_283",32090,39180,-0.605598971136247,0.133317104426528,"june",1436.35221870279,33526.3522187028,5653.6477812972
"66","70_B_426",31680,39020,-0.777692532600714,0.0890138027722643,"june",1424.85415524344,33104.8541552434,5915.14584475657
"67","70_C_427",31370,38900,-0.907812054683601,0.0557863265315648,"june",1370.03795504987,32740.0379550499,6159.96204495013
"68","70_D_428",37520,40000,1.67359136728337,0.360371525404632,"june",1989.99647204893,39509.9964720489,490.00352795107
"1100","101",33320,39320,0.747398525989162,0.677300092443699,"August",1860.42849066401,35180.428490664,4139.57150933598
"210","102",32910,38950,0.377985607537354,0.044732845218374,"August",1821.14296116053,34731.1429611605,4218.85703883947
"310","103",35070,39210,2.32416098279565,0.489239559484818,"August",1987.47344335672,37057.4734433567,2152.52655664328
"410","104",32240,38450,-0.225689161639982,-0.810087759140179,"August",1544.55745859799,33784.557458598,4665.44254140201
"510","113",34900,39740,2.17098977270587,1.39534940010489,"August",2061.66240227947,36961.6624022795,2778.33759772053
"610","114",32360,39010,-0.117568307458968,0.147311317741392,"August",1811.6075456272,34171.6075456272,4838.3924543728
"710","115",36500,40000,3.61260116178609,1.83985611437133,"August",2061.66666666666,38561.6666666667,1438.33333333334
"810","116",35070,37560,2.32416098279565,-2.33166843489841,"August",1526.72408781268,36596.7240878127,963.275912187317
"910","137",33380,38650,0.801458953079673,-0.468159517396765,"August",1803.66577356348,35183.6657735635,3466.33422643652
"1010","138",33450,38930,0.864529451351932,0.0105400210440265,"August",1874.43008605969,35324.4300860597,3605.56991394032
"1110","139",33110,38730,0.558187031172383,-0.3313882206994,"August",1804.87789932213,34914.8778993221,3815.12210067787
"1210","140",31310,37810,-1.06362578154286,-1.90425813271913,"August",999.246027318057,32309.2460273181,5500.75397268194
"1310","149",32900,38740,0.368975536355604,-0.31429180861222,"August",1787.78244502526,34687.7824450253,4052.21755497474
"1410","150",32790,39470,0.26986475335634,0.933746273751263,"August",1860.24056177893,34650.2405617789,4819.75943822107
"1510","151",35180,37310,2.42327176579491,-2.75907873707768,"August",1351.94630894319,36531.9463089432,778.053691056812
"1610","152",33420,39420,0.837499237806677,0.848264213315412,"August",1865.61597607544,35285.6159760754,4134.38402392456
"1710","161",33100,38890,0.549176959990634,-0.0578456273046563,"August",1819.41034037192,34919.4103403719,3970.58965962808
"1810","162",33530,39510,0.936610020805942,1.00213192209995,"August",1942.88504458208,35472.8850445821,4037.11495541792
"1910","163",33120,39020,0.567197102354133,0.164407729828572,"August",1874.2726291928,34994.2726291928,4025.7273708072
"207","164",31970,38090,-0.468961083547271,-1.42555859427834,"August",1234.93315078788,33204.9331507879,4885.06684921212
"211","17",32220,39070,-0.243709304003487,0.249889790264422,"August",1812.66857767318,34032.6685776732,5037.33142232682
"221","174",35690,40000,2.88278539606423,1.83985611437133,"August",2061.66666666186,37751.6666666619,2248.33333333815
"231","175",34710,39830,1.9997984202526,1.54921710888942,"August",2061.66522777929,36771.6652277793,3058.33477222071
"241","176",33340,39250,0.765418668352668,0.557625207833501,"August",1867.11654700106,35207.1165470011,4042.88345299894
"251","18",34040,38750,1.39612365107526,-0.297195396525052,"August",1868.85752481521,35908.8575248152,2841.1424751848
"261","19",33090,38920,0.540166888808884,-0.00655639104314118,"August",1826.81701542701,34916.817015427,4003.182984573
"271","197",32500,38860,0.00857268908555142,-0.109134863566171,"August",1793.11535487036,34293.1153548704,4566.88464512964
"281","198",32510,38310,0.017582760267301,-1.04943752836058,"August",1529.5297982172,34039.5297982172,4270.4702017828
"291","199",32470,38190,-0.0184575244597037,-1.25459447340664,"August",1518.65339774059,33988.6533977406,4201.34660225941
"30","20",32190,38790,-0.270739517548742,-0.228809748176369,"August",1670.18613805419,33860.1861380542,4929.81386194581
"311","200",32390,38750,-0.0905380939137129,-0.297195396525052,"August",1675.8542131692,34065.8542131692,4684.1457868308
"321","209",34280,39580,1.61236535943729,1.12180680671014,"August",2029.89346899394,36309.8934689939,3270.10653100606
"33","210",32370,38930,-0.108558236277218,0.0105400210440265,"August",1804.24513409674,34174.2451340967,4755.75486590326
"341","211",31850,39020,-0.577081937728285,0.164407729828572,"August",1782.57449677907,33632.5744967791,5387.42550322093
"351","212",31860,38500,-0.568071866546536,-0.724605698704329,"August",1530.74627489182,33390.7462748918,5109.25372510818
"361","233",31930,38480,-0.505001368274276,-0.758798522878676,"August",1530.65251262424,33460.6525126242,5019.34748737576
"371","234",32230,38590,-0.234699232821738,-0.570737989919784,"August",1643.93971736664,33873.9397173666,4716.06028263336
"381","235",32280,38840,-0.189648876912977,-0.143327687740507,"August",1722.54369544154,34002.5436954415,4837.45630455846
"391","236",32010,38200,-0.432920798820267,-1.23749806131946,"August",1394.46161134577,33404.4616113458,4795.53838865423
"401","245",32350,38210,-0.126578378640718,-1.22040164923229,"August",1515.12859793322,33865.1285979332,4344.87140206678
"411","246",32810,39660,0.287884895719845,1.25857810340751,"August",1900.0644813783,34710.0644813783,4949.9355186217
"421","247",32210,39090,-0.252719375185237,0.28408261443877,"August",1813.75618864827,34023.7561886483,5066.24381135173
"431","248",31460,39500,-0.928474713816588,0.985035510012778,"August",1879.2095662106,33339.2095662106,6160.79043378939
"441","257",31950,40000,-0.486981225910773,1.83985611437133,"August",1975.92535019146,33925.9253501915,6074.07464980854
"451","258",32160,40000,-0.297769731093998,1.83985611437133,"August",1986.63019719258,34146.6301971926,5853.36980280742
"461","259",32020,38800,-0.423910727638511,-0.211713336089202,"August",1662.51058972505,33682.5105897251,5117.48941027495
"47","260",32070,39090,-0.378860371729756,0.28408261443877,"August",1811.62531606743,33881.6253160674,5208.37468393258
"48","269",32210,39270,-0.252719375185237,0.591818032007849,"August",1874.31271085701,34084.312710857,5185.687289143
"49","270",31610,38760,-0.793323646090319,-0.280098984437885,"August",1643.85586349954,33253.8558634995,5506.14413650046
"501","271",31910,39390,-0.523021510637778,0.796974977053897,"August",1880.95380117087,33790.9538011709,5599.04619882914
"511","272",32110,38810,-0.342820087002752,-0.194616924002022,"August",1669.57620206557,33779.5762020656,5030.42379793443
"521","29",32890,38560,0.359965465173855,-0.622027226181299,"August",1662.36719323289,34552.3671932329,4007.63280676711
"53","30",32160,38670,-0.297769731093998,-0.433966693222418,"August",1655.88405151613,33815.8840515161,4854.11594848388
"541","306",32150,39270,-0.306779802275747,0.591818032007849,"August",1869.24671142106,34019.2467114211,5250.75328857894
"55","307",31020,38410,-1.32491784581365,-0.878473407488874,"August",1277.88889060976,32297.8888906098,6112.11110939024
"561","308",31490,39080,-0.901444500271336,0.26698620235159,"August",1747.74849541169,33237.7484954117,5842.2515045883
"571","31",35670,40000,2.86476525370073,1.83985611437133,"August",2061.66666666104,37731.666666661,2268.33333333896
"581","317",31600,39070,-0.802333717272069,0.249889790264422,"August",1767.84888809243,33367.8488880924,5702.15111190757
"591","318",31750,39040,-0.6671826495458,0.198600554002907,"August",1777.18405137935,33527.1840513794,5512.81594862064
"601","319",32660,39470,0.15273382799357,0.933746273751263,"August",1862.62982637085,34522.6298263709,4947.37017362915
"611","32",33960,39410,1.32404308162125,0.831167801228232,"August",1956.84723415988,35916.8472341599,3493.15276584012
"621","320",31900,38940,-0.532031581819531,0.0276364331311942,"August",1717.95191100622,33617.9519110062,5322.04808899378
"631","329",31580,39030,-0.820353859635574,0.18150414191574,"August",1720.2084849518,33300.2084849518,5729.79151504819
"641","330",32140,39110,-0.315789873457497,0.318275438613105,"August",1813.81440767513,33953.8144076751,5156.18559232487
"65","331",31930,38730,-0.505001368274276,-0.3313882206994,"August",1655.59963198331,33585.5996319833,5144.40036801669
"661","341",31460,38940,-0.928474713816588,0.0276364331311942,"August",1661.01033321017,33121.0103332102,5818.98966678983
"671","342",31370,38910,-1.00956535445235,-0.023652803130321,"August",1657.51859831726,33027.5185983173,5882.48140168274
"681","343",31160,38840,-1.19877684926913,-0.143327687740507,"August",1618.54117192863,32778.5411719286,6061.45882807137
"69","344",31480,39050,-0.910454571453086,0.215696966090075,"August",1712.49246091306,33192.4924609131,5857.50753908694
"70","353",32940,40000,0.405015821082609,1.83985611437133,"August",2050.95016865023,34990.9501686502,5009.04983134977
"71","354",31930,39070,-0.505001368274276,0.249889790264422,"August",1807.39937815555,33737.3993781556,5332.60062184445
"72","355",32680,39200,0.170753970357075,0.472143147397651,"August",1882.70593928169,34562.7059392817,4637.29406071831
