"","sampleID.exp","test1.exp","allP.exp","ztest1","zallP","month","june","aug","exp.adjust","exp.adjustTest1","stress"
"46","242_C_1763",32100,38540,-0.601401567198091,-0.0438961021905297,"june",1,0,71.2284885234342,32171.2284885234,6368.77151147657
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","248_C_1835",33020,39230,-0.215240404887584,0.147161886193484,"june",1,0,71.4240304794839,33091.4240304795,6138.57596952052
"51","248_D_1836",33110,40000,-0.177463769444166,0.360371525404632,"june",1,0,71.335771457344,33181.3357714573,6818.66422854266
"52","250_A_1857",35110,39780,0.662017018187369,0.299454485630019,"june",1,0,69.5414942009666,35179.541494201,4600.45850579903
"53","250_B_1858",37160,37960,1.52248482550969,-0.204495570687237,"june",1,0,66.8538775681293,37226.8538775681,733.14612243187
"54","250_C_1859",36380,40000,1.1950873183334,0.360371525404632,"june",1,0,64.7638292894053,36444.7638292894,3555.2361707106
"55","250_D_1860",39480,40000,2.49628253916227,0.360371525404632,"june",1,0,64.5584793690565,39544.5584793691,455.441520630942
"56","30_A_185",32370,40000,-0.488071660867835,0.360371525404632,"june",1,0,71.422263431473,32441.4222634315,7558.57773656853
"57","30_C_187",31450,38990,-0.87423282317834,0.0807069337120895,"june",1,0,71.2215593893826,31521.2215593894,7468.77844061062
"58","35_A_221",36060,40000,1.06077039231235,0.360371525404632,"june",1,0,65.1054090502968,36125.1054090503,3874.89459094971
"59","35_B_222",32140,39240,-0.58461195144546,0.149930842546877,"june",1,0,71.2858908924296,32211.2858908924,7028.71410910757
"60","35_C_223",31880,38960,-0.69374445383756,0.0724000646519146,"june",1,0,71.2320072300252,31951.23200723,7008.76799276998
"61","35_D_224",33050,39600,-0.202648193073113,0.249613271268972,"june",1,0,71.4153628116075,33121.4153628116,6478.58463718839
"62","46_A_281",31340,38760,-0.920404266498075,0.0170209375840834,"june",1,0,71.2123786099731,31411.21237861,7348.78762139003
"63","46_B_282",31700,39280,-0.769297724724399,0.161006667960443,"june",1,0,71.2349935455525,31771.2349935456,7508.76500645445
"64","46_C_283",32090,39180,-0.605598971136247,0.133317104426528,"june",1,0,71.2679767772149,32161.2679767772,7018.73202322278
"65","70_A_425",37960,38540,1.85827714056231,-0.0438961021905297,"june",1,0,64.76740055464,38024.7674005546,515.232599445357
"66","70_B_426",31680,39020,-0.777692532600714,0.0890138027722643,"june",1,0,71.226821688446,31751.2268216884,7268.77317831155
"67","70_C_427",31370,38900,-0.907812054683601,0.0557863265315648,"june",1,0,71.2178709517888,31441.2178709518,7458.78212904821
"68","70_D_428",37520,40000,1.67359136728337,0.360371525404632,"june",1,0,65.7337837349771,37585.733783735,2414.26621626502
"69","101",33320,39320,0.747398525989162,0.677300092443699,"aug",0,1,64.8601951744072,33384.8601951744,5935.13980482559
"70","102",32910,38950,0.377985607537354,0.044732845218374,"aug",0,1,70.7106768311639,32980.7106768312,5969.28932316884
"71","103",35070,39210,2.32416098279565,0.489239559484818,"aug",0,1,64.5549751394991,35134.5549751395,4075.4450248605
"72","104",32240,38450,-0.225689161639982,-0.810087759140179,"aug",0,1,71.1275539359434,32311.1275539359,6138.87244606405
"73","113",34900,39740,2.17098977270587,1.39534940010489,"aug",0,1,57.0832482553566,34957.0832482554,4782.91675174464
"74","114",32360,39010,-0.117568307458968,0.147311317741392,"aug",0,1,71.4163047633604,32431.4163047634,6578.58369523664
"75","115",36500,40000,3.61260116178609,1.83985611437133,"aug",0,1,56.0267252433174,36556.0267252433,3443.97327475668
